Reporting period,Organization,Donor,Cluster,ACTIVITY DESCRIPTION,Implementing Partners,Region,District,SPECIFIC LOCATION ,RURAL/URBAN         ,Status,DURATION,Start Date,End Date,Y_COORD,X_COORD
Periode I,DRC,SHF,CCCM,"Improve the living conditions and protection of IDPs in sites and settlements and ensure equitable access to services and assistance of all persons in need, with a clear focus on moving toward attaining durable solutions with full participation of the displaced and host communities",,Mudug,Gaalkacyo,"Najax, Liban 2, Wadataal, Dooxa Mudug. ",Urban,Ongoing,12 months ,4/15/2018,4/14/2019,,
Periode I,DRC,SHF,CCCM,"The Project intervention supports multiple stakeholders through the dual components of camp coordination with the Cluster and camp management at targeted sites, with the main aim of enhancing coordination of humanitarian response and protection for displaced populations in Bosaso District ",,Bari,Bossaso,"Shabeele-A, Shabele-B, Ajuuran-A, Ajuuran-B, Bahaya IDP (Armo) and Tawakal.",Urban,Ongoing,12 months ,12/20/2018,12/19/2019,,
Periode I,DRC,SHF,CCCM,"Provide protection centered Integrated humanitarian response in and around IDP settlements in Bari and Sool Regions for the most
vulnerable, aimed at ensuring access to key services through CCCM, Shelter, WASH activities while ensuring that their protection risks are
mitigated.",,Bari,Bandarbeyla,"Bayla, Hafun, Habo, Alula, Bareeda, Bargaal",Urban,Ongoing,12 months ,10/9/2018,9/9/2019,,
Periode I,DRC,SHF,CCCM,"Provide protection centered Integrated humanitarian response in and around IDP settlements in Bari and Sool Regions for the most
vulnerable, aimed at ensuring access to key services through CCCM, Shelter, WASH activities while ensuring that their protection risks are
mitigated.",,Bari,Caluula,"Bayla, Hafun, Habo, Alula, Bareeda, Bargaal",Urban,Ongoing,12 months ,10/9/2018,9/9/2019,,
Periode I,DRC,SHF,CCCM,"Provide protection centered Integrated humanitarian response in and around IDP settlements in Bari and Sool Regions for the most
vulnerable, aimed at ensuring access to key services through CCCM, Shelter, WASH activities while ensuring that their protection risks are
mitigated.",,Sool,Laas Caanood,"Bocame, Falayryale, Buula-wadal,Buulal, Karin-gorfeed, Har-wanaag",Urban,Ongoing,12 months ,10/9/2018,9/9/2019,,
Periode I,DRC,ECHO,CCCM,Ensure access to multi-sectoral integrated emergency response through enhanced coordination and improved information management in camps and settlements in order to improve the living conditions of IDPs in Somali,,Banadir,Deyniile,"Buulo Shekh (Hadumo, Sool, Hareri, Bulsho, Mudan, Dani, Baalow, Baalfag, Sharaf); 
Saacid (Arabow harawow, Haskun, Timir, Beerey, Zabiib, Caanole); Ceeblaawe (Sucaad, Nuurow, Gumar, Qurac, Farguduudo); Doha Center (Yaasiin, Godimo, Bulalow, Jerow, Suban)",Urban,Ongoing,12 months ,1/1/2019,12/31/2019,,
Periode I,DRC,ECHO,CCCM,Ensure access to multi-sectoral integrated emergency response through enhanced coordination and improved information management in camps and settlements in order to improve the living conditions of IDPs in Somali,,Bay,Baydhaba,"Barkadle, Degdacar, IRI Roog Win, Raasi, Sirmaqabe, Bula hawa, Kaamir, Qasab-2, Tubaney, Dambal Caalan, Hilaac-2, Bakal Gaduud, Idale Weyn",Urban,Ongoing,12 months ,1/1/2019,12/31/2019,,
Periode I,DRC,ECHO,CCCM,Ensure access to multi-sectoral integrated emergency response through enhanced coordination and improved information management in camps and settlements in order to improve the living conditions of IDPs in Somali,,Mudug,Gaalkacyo,"Alla aamin 1, Alla aamin 2, Buloo bacleey, Mustaqbal 1, New Doonyaale, Warshad Galey
",Urban,Ongoing,12 months ,1/1/2019,12/31/2019,,
Periode I,DRC,UNHCR,CCCM,"Support site management and improvement through establishment of accountable and transparent CMCs, support access to services through information management and community feedback, construct multi-purpose social halls, and improve site safety.",,Gedo,Luuq,"Boyle, Hilaac, Waaberi, Horseed, Holwadag, Hero, Kowad, Madina, Kormaray
",Urban,Ongoing,12 months ,1/1/2019,12/31/2019,,
Periode I,DRC,UNHCR,CCCM,"Support site management and improvement through establishment of accountable and transparent CMCs, support access to services through information management and community feedback, construct multi-purpose social halls, and improve site safety.",,Gedo,Belet Xaawo,"Hananley, Sidedad, Qadhow, Qansah-Omane, Tulo amin, Camp ajuran",Urban,Ongoing,12 months ,1/1/2019,12/31/2019,,
Periode I,DRC,SHF,CCCM,"Provide protection centred, live saving integrated (CCCM, Protection, Shelter/NFI and WASH) response to most vulnerable drought and
conflict effected women, boys girls and men living in the IDPs sites of Beletwyene. The intervention will ensure that protection risks are
mitigated and addressed, and targeted communities have access to dignified basic services.",,Hiraan,Belet Weyne,"Doomey, Ex-Airport, Daryeel, Wabi-Shabelle, Budul, Ceynte, Alla-Amin 2, Camp junbur, Tawakal sigalow, Midnimo, Doofil, Rabi-tuug, bilis-diid, buulo-qorax Fatxi.",Urban,Ongoing,12 months ,4/15/2018,4/14/2019,,
Periode I,IOM,German MFA,CCCM,"IOMÕs CCCM activities, in line with CCCM Cluster priorities, seek to improve the coordination of the service delivery in displacement sites:
contribute to more informed communities through CwC activities, build capacity of national authorities as well as cluster members and partners for improved humanitarian response in IDP settlements; as well as in preparedness through contingecy planning and site planning.",IP,Banadir,Deyniile,,,Ongoing,12 months ,10/1/2018,10/31/2019,,
Periode I,IOM,OFDA,CCCM,"IOMÕs CCCM activities, in line with CCCM Cluster priorities, seek to improve the coordination of the service delivery in displacement sites:
contribute to more informed communities through CwC activities, build capacity of national authorities as well as cluster members and partners for improved humanitarian response in IDP settlements; as well as in preparedness through contingecy planning and site planning.",,Banadir,Deyniile,,,Ongoing,12 months ,9/1/2018,9/30/2019,,
Periode I,IOM,OFDA,CCCM,"IOMÕs CCCM activities, in line with CCCM Cluster priorities, seek to improve the coordination of the service delivery in displacement sites:
contribute to more informed communities through CwC activities, build capacity of national authorities as well as cluster members and partners for improved humanitarian response in IDP settlements; as well as in preparedness through contingecy planning and site planning.",,Bay,Baydhaba,,,Completed,12 months ,9/1/2018,9/30/2019,,
Periode I,IOM,OFDA,CCCM,"IOMÕs CCCM activities, in line with CCCM Cluster priorities, seek to improve the coordination of the service delivery in displacement sites:
contribute to more informed communities through CwC activities, build capacity of national authorities as well as cluster members and partners for improved humanitarian response in IDP settlements; as well as in preparedness through contingecy planning and site planning.",,Gedo,Doolow,,,Ongoing,12 months ,9/1/2018,9/30/2019,,
Periode I,IOM,OFDA,CCCM,"IOMÕs CCCM activities, in line with CCCM Cluster priorities, seek to improve the coordination of the service delivery in displacement sites:
contribute to more informed communities through CwC activities, build capacity of national authorities as well as cluster members and partners for improved humanitarian response in IDP settlements; as well as in preparedness through contingecy planning and site planning.",,Lower Juba,Kismaayo,,,Ongoing,12 months ,9/1/2018,9/30/2019,,
Periode I,IOM,ECHO,CCCM,"IOMÕs CCCM activities, in line with CCCM Cluster priorities, seek to improve the coordination of the service delivery in displacement sites:
contribute to more informed communities through CwC activities, build capacity of national authorities as well as cluster members and partners for improved humanitarian response in IDP settlements; as well as in preparedness through contingecy planning and site planning.",,Bay,Baydhaba,,,Completed,9 months,7/1/2018,2/28/2019,,
Periode I,IOM,ECHO,CCCM,"IOMÕs CCCM activities, in line with CCCM Cluster priorities, seek to improve the coordination of the service delivery in displacement sites:
contribute to more informed communities through CwC activities, build capacity of national authorities as well as cluster members and partners for improved humanitarian response in IDP settlements; as well as in preparedness through contingecy planning and site planning.",,Gedo,Doolow,,,Completed,9 months,7/1/2018,2/28/2019,,
Periode I,IOM,ECHO,CCCM,"IOMÕs CCCM activities, in line with CCCM Cluster priorities, seek to improve the coordination of the service delivery in displacement sites:
contribute to more informed communities through CwC activities, build capacity of national authorities as well as cluster members and partners for improved humanitarian response in IDP settlements; as well as in preparedness through contingecy planning and site planning.",,Lower Juba,Kismaayo,,,Completed,9 months,7/1/2018,2/28/2019,,
Periode I,IOM,DFID,CCCM,Relocation plan for Baidoa IDPs,,Bay,Baydhaba,,,Completed,10 months,7/1/2018,3/28/2019,,
Periode I,NRC,SHF,CCCM,Construction of  5 Community Centers,,Banadir ,Deyniile,"Kaxda,Daynile and Dharkinley",,Ongoing,12 months ,12/18/2018,12/17/2019,,
Periode I,NRC,SHF,CCCM,6 Training on CCCM principles to community governance structures,,Banadir ,Deyniile,"Kaxda,Daynile and Dharkinley",,Ongoing,12 months ,12/18/2018,12/17/2019,,
Periode I,NRC,SHF,CCCM,2 Emergency Sites improvement activities (Planning Tools+Hardcore),,Banadir ,Deyniile,"Kaxda,Daynile and Dharkinley",,Planned,12 months ,12/18/2018,12/17/2019,,
Periode I,NRC,SHF,CCCM,2 Site Maintanance Training,,Banadir ,Deyniile,"Kaxda,Daynile and Dharkinley",,Planned,12 months ,12/18/2018,12/17/2019,,
Periode I,NRC,SHF,CCCM,Conducting Site Verifications in quarterly basis,,Banadir ,Deyniile,"Kaxda,Daynile and Dharkinley",,Planned,12 months ,12/18/2018,12/17/2019,,
Periode I,NRC,SHF,CCCM,Meeting for setting up CCCM coordination structures and other monthly coordination meetings,,Banadir ,Deyniile,"Kaxda,Daynile and Dharkinley",,Planned,12 months ,12/18/2018,12/17/2019,,
Periode I,NRC,SHF,CCCM,Monitor service delivery by establishing roving CCCM teams for monitoring and community engagement,,Banadir ,Deyniile,"Kaxda,Daynile and Dharkinley",,Planned,12 months ,12/18/2018,12/17/2019,,
Periode I,SSWC,UNHCR,CCCM,Cash for work - site maintenance at the 25 targetted IDP camps,SSWC,Banadir ,Deyniile,"Kaxda,Daynile and Dharkinley",Urban,Ongoing,12 months ,1/1/2019,12/1/2019,2.057,45.257
Periode I,SSWC,SHF,CCCM,"Full CCCM response including: creation of CCCM structures,service mapping,cash for work activities,NFI distribution and ESK creation for both the IDPs and host communities.",SSWC,Banadir,Deyniile,"Kaxda,Daynile and Dharkinley",Urban,Ongoing,12 months ,12/20/2018,12/19/2019,,
Periode I,ADRA,NORAD,Education,Teaching and Learning Materials,,Lower Juba,Kismaayo,Farjano,,Planned,,3/1/2019,2/28/2024,7.53474,47.81277
Periode I,ADRA,NORAD,Education,Other- please specify,,Lower Juba,Kismaayo,Farjano,,Planned,,3/1/2019,2/28/2024,7.53474,47.81277
Periode I,ADRA,NORAD,Education,Teacher Training,,Lower Juba,Kismaayo,Farjano,,Planned,,3/1/2019,2/28/2024,7.53474,47.81277
Periode I,ADRA,NORAD,Education,Other- please specify,,Lower Juba,Kismaayo,Farjano,,Planned,,3/1/2019,2/28/2024,7.53474,47.81277
Periode I,ADRA,NORAD,Education,CECs Training,,Lower Juba,Kismaayo,Farjano,,Planned,,3/1/2019,2/28/2024,7.53474,47.81277
Periode I,ADRA,NORAD,Education,Teacher Training,,Lower Juba,Kismaayo,Farjano,,Planned,,3/1/2019,2/28/2024,7.53474,47.81277
Periode I,ADRA,NORAD,Education,Other- please specify,,Lower Juba,Kismaayo,Farjano,,Planned,,3/1/2019,2/28/2024,7.53474,47.81277
Periode I,ADRA,NORAD,Education,Teaching and Learning Materials,,Lower Juba,Kismaayo,Farjano,,Planned,,3/1/2019,2/28/2024,7.53474,47.81277
Periode I,ADRA,NORAD,Education,Teaching and Learning Materials,,Lower Juba,Kismaayo,Shaqalaha,,Planned,,3/1/2019,2/28/2024,-0.2285,42.871601
Periode I,ADRA,NORAD,Education,Other- please specify,,Lower Juba,Kismaayo,Shaqalaha,,Planned,,3/1/2019,2/28/2024,-0.2285,42.871601
Periode I,ADRA,NORAD,Education,Teacher Training,,Lower Juba,Kismaayo,Shaqalaha,,Planned,,3/1/2019,2/28/2024,-0.2285,42.871601
Periode I,ADRA,NORAD,Education,Other- please specify,,Lower Juba,Kismaayo,Shaqalaha,,Planned,,3/1/2019,2/28/2024,-0.2285,42.871601
Periode I,ADRA,NORAD,Education,CECs Training,,Lower Juba,Kismaayo,Shaqalaha,,Planned,,3/1/2019,2/28/2024,-0.2285,42.871601
Periode I,ADRA,NORAD,Education,Teacher Training,,Lower Juba,Kismaayo,Shaqalaha,,Planned,,3/1/2019,2/28/2024,-0.2285,42.871601
Periode I,ADRA,NORAD,Education,Other- please specify,,Lower Juba,Kismaayo,Shaqalaha,,Planned,,3/1/2019,2/28/2024,-0.2285,42.871601
Periode I,ADRA,NORAD,Education,Teaching and Learning Materials,,Lower Juba,Kismaayo,Shaqalaha,,Planned,,3/1/2019,2/28/2024,-0.2285,42.871601
Periode I,ADRA,NORAD,Education,Teaching and Learning Materials,,Lower Juba,Kismaayo,Alanley,,Planned,,3/1/2019,2/28/2024,-0.32548,42.35304
Periode I,ADRA,NORAD,Education,Teaching and Learning Materials,,Lower Juba,Kismaayo,Alanley,,Planned,,3/1/2019,2/28/2024,-0.32548,42.35304
Periode I,ADRA,NORAD,Education,Teaching and Learning Materials,,Lower Juba,Kismaayo,Alanley,,Planned,,3/1/2019,2/28/2024,-0.32548,42.35304
Periode I,ADRA,NORAD,Education,Teaching and Learning Materials,,Lower Juba,Kismaayo,Alanley,,Planned,,3/1/2019,2/28/2024,-0.32548,42.35304
Periode I,ADRA,NORAD,Education,Teaching and Learning Materials,,Lower Juba,Kismaayo,Alanley,,Planned,,3/1/2019,2/28/2024,-0.32548,42.35304
Periode I,ADRA,NORAD,Education,Teacher Training,,Lower Juba,Kismaayo,Alanley,,Planned,,3/1/2019,2/28/2024,-0.32548,42.35304
Periode I,ADRA,NORAD,Education,Other- please specify,,Lower Juba,Kismaayo,Alanley,,Planned,,3/1/2019,2/28/2024,-0.32548,42.35304
Periode I,ADRA,NORAD,Education,Teaching and Learning Materials,,Lower Juba,Kismaayo,Alanley,,Planned,,3/1/2019,2/28/2024,-0.32548,42.35304
Periode I,ADRA,NORAD,Education,Teaching and Learning Materials,,Lower Juba,Kismaayo,Farjano,,Planned,,3/1/2019,2/28/2024,7.53474,47.81277
Periode I,ADRA,NORAD,Education,Other- please specify,,Lower Juba,Kismaayo,Farjano,,Planned,,3/1/2019,2/28/2024,7.53474,47.81277
Periode I,ADRA,NORAD,Education,Other- please specify,,Lower Juba,Kismaayo,Farjano,,Planned,,3/1/2019,2/28/2024,7.53474,47.81277
Periode I,ADRA,NORAD,Education,Teaching and Learning Materials,,Lower Juba,Kismaayo,Farjano,,Planned,,3/1/2019,2/28/2024,7.53474,47.81277
Periode I,ADRA,NORAD,Education,Other- please specify,,Lower Juba,Kismaayo,Farjano,,Planned,,3/1/2019,2/28/2024,7.53474,47.81277
Periode I,ADRA,NORAD,Education,Other- please specify,,Lower Juba,Kismaayo,Farjano,,Planned,,3/1/2019,2/28/2024,7.53474,47.81277
Periode I,ADRA,NORAD,Education,Teaching and Learning Materials,,Lower Juba,Kismaayo,Farjano,,Planned,,3/1/2019,2/28/2024,7.53474,47.81277
Periode I,ADRA,NORAD,Education,Other- please specify,,Lower Juba,Kismaayo,Farjano,,Planned,,3/1/2019,2/28/2024,7.53474,47.81277
Periode I,ADRA,NORAD,Education,Other- please specify,,Lower Juba,Kismaayo,Farjano,,Planned,,3/1/2019,2/28/2024,7.53474,47.81277
Periode I,ADRA,NORAD,Education,Other- please specify,,Lower Juba,Kismaayo,Farjano,,Planned,,3/1/2019,2/28/2024,7.53474,47.81277
Periode I,ADRA,NORAD,Education,Teaching and Learning Materials,,Lower Juba,Kismaayo,Farjano,,Planned,,3/1/2019,2/28/2024,7.53474,47.81277
Periode I,ADRA,NORAD,Education,Other- please specify,,Lower Juba,Kismaayo,Farjano,,Planned,,3/1/2019,2/28/2024,7.53474,47.81277
Periode I,ADRA,NORAD,Education,Teaching and Learning Materials,,Lower Juba,Kismaayo,Farjano,,Planned,,3/1/2019,2/28/2024,7.53474,47.81277
Periode I,ADRA,NORAD,Education,Other- please specify,,Lower Juba,Kismaayo,Farjano,,Planned,,3/1/2019,2/28/2024,7.53474,47.81277
Periode I,ADRA,NORAD,Education,Other- please specify,,Lower Juba,Kismaayo,Farjano,,Planned,,3/1/2019,2/28/2024,7.53474,47.81277
Periode I,ADRA,NORAD,Education,Teacher Training,,Lower Juba,Kismaayo,Farjano,,Planned,,3/1/2019,2/28/2024,7.53474,47.81277
Periode I,ADRA,Education Cannot Wait,Education,Provision of Food/Food Grant,,Awdal,Gebiley,Gebiley,,Planned,,3/1/2019,2/28/2024,9.72271,43.78848
Periode I,ADRA,Education Cannot Wait,Education,Provision of Food/Food Grant,,Awdal,Borama,Boon,,Planned,,3/1/2019,2/28/2024,10.13924,43.25493
Periode I,ADRA,Education Cannot Wait,Education,Provision of Food/Food Grant,,Awdal,Lughaye,Goob Weyn,,Planned,,3/1/2019,2/28/2024,-0.5505,41.647999
Periode I,ADRA,Education Cannot Wait,Education,Provision of Food/Food Grant,,Woqooyi Galbeed,Berbera,Saob Weyn,,Planned,,3/1/2019,2/28/2024,,
Periode I,ADRA,Education Cannot Wait,Education,Provision of Food/Food Grant,,Woqooyi Galbeed,Berbera,Buob Weyn,,Planned,,3/1/2019,2/28/2024,,
Periode I,ADRA,Education Cannot Wait,Education,Provision of Food/Food Grant,,Woqooyi Galbeed,Berbera,Daob Weyn,,Planned,,3/1/2019,2/28/2024,,
Periode I,ADRA,Education Cannot Wait,Education,Provision of Food/Food Grant,,Woqooyi Galbeed,Berbera,Duob Weyn,,Planned,,3/1/2019,2/28/2024,,
Periode I,ADRA,Education Cannot Wait,Education,Provision of Food/Food Grant,,Woqooyi Galbeed,Berbera,Goob Weyn,,Planned,,3/1/2019,2/28/2024,-0.5505,41.647999
Periode I,ADRA,Education Cannot Wait,Education,Provision of Food/Food Grant,,Woqooyi Galbeed,Berbera,Laob Weyn,,Planned,,3/1/2019,2/28/2024,,
Periode I,ADRA,DFID,Education,Construction/Rehabilitation of TLC,,Awdal,Borama,Boon,,Ongoing,,1/5/2017,7/30/2020,10.13924,43.25493
Periode I,ADRA,DFID,Education,Construction/Rehabilitation of WASH facilites,,Awdal,Borama,Boon,,Ongoing,,1/5/2017,7/30/2020,10.13924,43.25493
Periode I,ADRA,DFID,Education,Construction/Rehabilitation of Water Storage Tanks,,Awdal,Borama,Boon,,Ongoing,,1/5/2017,7/30/2020,10.13924,43.25493
Periode I,ADRA,DFID,Education,Construction/Rehabilitation of Water Storage Tanks,,Awdal,Borama,Boon,,Ongoing,,1/5/2017,7/30/2020,10.13924,43.25493
Periode I,ADRA,DFID,Education,Emergency Teacher Incentives,,Awdal,Borama,Boon,,Ongoing,,1/5/2017,7/30/2020,10.13924,43.25493
Periode I,ADRA,DFID,Education,Provision of Food/Food Grant,,Awdal,Borama,Boon,,Ongoing,,1/5/2017,7/30/2020,10.13924,43.25493
Periode I,ADRA,DFID,Education,Provision of Safe Drinking Water,,Awdal,Borama,Boon,,Ongoing,,1/5/2017,7/30/2020,10.13924,43.25493
Periode I,ADRA,DFID,Education,Teaching and Learning Materials,,Awdal,Borama,Boon,,Ongoing,,1/5/2017,7/30/2020,10.13924,43.25493
Periode I,ADRA,DFID,Education,Construction/Rehabilitation of WASH facilites,,Woqooyi Galbeed,Berbera,Bulloxaar,,Ongoing,,1/5/2017,7/30/2020,10.390648,44.402351
Periode I,ADRA,DFID,Education,Construction/Rehabilitation of TLC,,Woqooyi Galbeed,Berbera,Bulloxaar,,Ongoing,,1/5/2017,7/30/2020,10.390648,44.402351
Periode I,ADRA,DFID,Education,Construction/Rehabilitation of Water Storage Tanks,,Woqooyi Galbeed,Berbera,Bulloxaar,,Ongoing,,1/5/2017,7/30/2020,10.390648,44.402351
Periode I,ADRA,DFID,Education,Emergency Teacher Incentives,,Woqooyi Galbeed,Berbera,Bulloxaar,,Ongoing,,1/5/2017,7/30/2020,10.390648,44.402351
Periode I,ADRA,DFID,Education,Provision of Food/Food Grant,,Woqooyi Galbeed,Berbera,Bulloxaar,,Ongoing,,1/5/2017,7/30/2020,10.390648,44.402351
Periode I,ADRA,DFID,Education,Provision of Safe Drinking Water,,Woqooyi Galbeed,Berbera,Bulloxaar,,Ongoing,,1/5/2017,7/30/2020,10.390648,44.402351
Periode I,ADRA,DFID,Education,Teaching and Learning Materials,,Woqooyi Galbeed,Berbera,Bulloxaar,,Ongoing,,1/5/2017,7/30/2020,10.390648,44.402351
Periode I,ADRA,DFID,Education,Construction/Rehabilitation of TLC,,Woqooyi Galbeed,Hargeysa,Cadaadley,,Ongoing,,1/5/2017,7/30/2020,9.62273,43.82162
Periode I,ADRA,DFID,Education,Construction/Rehabilitation of WASH facilites,,Woqooyi Galbeed,Hargeysa,Cadaadley,,Ongoing,,1/5/2017,7/30/2020,9.62273,43.82162
Periode I,ADRA,DFID,Education,Construction/Rehabilitation of Water Storage Tanks,,Woqooyi Galbeed,Hargeysa,Cadaadley,,Ongoing,,1/5/2017,7/30/2020,9.62273,43.82162
Periode I,ADRA,DFID,Education,Emergency Teacher Incentives,,Woqooyi Galbeed,Hargeysa,Cadaadley,,Ongoing,,1/5/2017,7/30/2020,9.62273,43.82162
Periode I,ADRA,DFID,Education,Provision of Food/Food Grant,,Woqooyi Galbeed,Hargeysa,Cadaadley,,Ongoing,,1/5/2017,7/30/2020,9.62273,43.82162
Periode I,ADRA,DFID,Education,Provision of Safe Drinking Water,,Woqooyi Galbeed,Hargeysa,Cadaadley,,Ongoing,,1/5/2017,7/30/2020,9.62273,43.82162
Periode I,ADRA,DFID,Education,Teaching and Learning Materials,,Woqooyi Galbeed,Hargeysa,Cadaadley,,Ongoing,,1/5/2017,7/30/2020,9.62273,43.82162
Periode I,ADRA,DFID,Education,Construction/Rehabilitation of WASH facilites,,Awdal,Borama,Dilla,,Ongoing,,1/5/2017,7/30/2020,10.06303,43.06181
Periode I,ADRA,DFID,Education,Construction/Rehabilitation of Water Storage Tanks,,Awdal,Borama,Dilla,,Ongoing,,1/5/2017,7/30/2020,10.06303,43.06181
Periode I,ADRA,DFID,Education,Emergency Teacher Incentives,,Awdal,Borama,Dilla,,Ongoing,,1/5/2017,7/30/2020,10.06303,43.06181
Periode I,ADRA,DFID,Education,Provision of Safe Drinking Water,,Awdal,Borama,Dilla,,Ongoing,,1/5/2017,7/30/2020,10.06303,43.06181
Periode I,ADRA,DFID,Education,Teaching and Learning Materials,,Awdal,Borama,Dilla,,Ongoing,,1/5/2017,7/30/2020,10.06303,43.06181
Periode I,ADRA,DFID,Education,Provision of Food/Food Grant,,Awdal,Borama,Dilla,,Ongoing,,1/5/2017,7/30/2020,10.06303,43.06181
Periode I,ADRA,DFID,Education,Construction/Rehabilitation of WASH facilites,,Woqooyi Galbeed,Berbera,Fara-Deero,,Ongoing,,1/5/2017,7/30/2020,10.24643,45.08334
Periode I,ADRA,DFID,Education,Construction/Rehabilitation of Water Storage Tanks,,Woqooyi Galbeed,Berbera,Fara-Deero,,Ongoing,,1/5/2017,7/30/2020,10.24643,45.08334
Periode I,ADRA,DFID,Education,Emergency Teacher Incentives,,Woqooyi Galbeed,Berbera,Fara-Deero,,Ongoing,,1/5/2017,7/30/2020,10.24643,45.08334
Periode I,ADRA,DFID,Education,Provision of Food/Food Grant,,Woqooyi Galbeed,Berbera,Fara-Deero,,Ongoing,,1/5/2017,7/30/2020,10.24643,45.08334
Periode I,ADRA,DFID,Education,Provision of Safe Drinking Water,,Woqooyi Galbeed,Berbera,Fara-Deero,,Ongoing,,1/5/2017,7/30/2020,10.24643,45.08334
Periode I,ADRA,DFID,Education,Teaching and Learning Materials,,Woqooyi Galbeed,Berbera,Fara-Deero,,Ongoing,,1/5/2017,7/30/2020,10.24643,45.08334
Periode I,ADRA,DFID,Education,Construction/Rehabilitation of WASH facilites,,Woqooyi Galbeed,Hargeysa,Gadhka Warsame Xaad,,Ongoing,,1/5/2017,7/30/2020,10.08967,44.96125
Periode I,ADRA,DFID,Education,Construction/Rehabilitation of Water Storage Tanks,,Woqooyi Galbeed,Hargeysa,Gadhka Warsame Xaad,,Ongoing,,1/5/2017,7/30/2020,10.08967,44.96125
Periode I,ADRA,DFID,Education,Emergency Teacher Incentives,,Woqooyi Galbeed,Hargeysa,Gadhka Warsame Xaad,,Ongoing,,1/5/2017,7/30/2020,10.08967,44.96125
Periode I,ADRA,DFID,Education,Provision of Food/Food Grant,,Woqooyi Galbeed,Hargeysa,Gadhka Warsame Xaad,,Ongoing,,1/5/2017,7/30/2020,10.08967,44.96125
Periode I,ADRA,DFID,Education,Provision of Safe Drinking Water,,Woqooyi Galbeed,Hargeysa,Gadhka Warsame Xaad,,Ongoing,,1/5/2017,7/30/2020,10.08967,44.96125
Periode I,ADRA,DFID,Education,Teaching and Learning Materials,,Woqooyi Galbeed,Hargeysa,Gadhka Warsame Xaad,,Ongoing,,1/5/2017,7/30/2020,10.08967,44.96125
Periode I,ADRA,EU,Education,Construction/Rehabilitation of WASH facilites,,Galgaduud,Cadaado,Galinsoor,,Ongoing,,1/5/2017,7/30/2020,6.07628,47.40701
Periode I,ADRA,EU,Education,Construction/Rehabilitation of Water Storage Tanks,,Galgaduud,Cadaado,Galinsoor,,Ongoing,,1/5/2017,7/30/2020,6.07628,47.40701
